"clusterID" "ra" "dec" "u" "g" "r" "i" "z" "zspec" "zerrx" "Vel" "Vel_err" "radp" "radmpc" "Voff" "Flag" "run" "camcol" "field" "DR12id" "DR12specObjID" "lgm_tot_p50" "sfr_tot_p50" "specsfr_tot_p50" "d4000_n"
"107" 1 10.57342 -9.027181 0 0 17.4628 0 0 0.05282 0 15834.912 0 0.325013 1.253714 -683.653 0 1729 6 152 "1237652901826396261" "738680809757632512" 9.968409 -1.069976 -11.08933 1.572636
"108" 1 10.685987 -9.517458 0 0 15.9115 0 0 0.056786 0 17024.024 0 0.329301 1.270254 505.459 0 1666 5 262 "1237652630713794628" "738706648280885248" 10.68327 -0.5294152 -11.28042 1.785096
"109" 1 10.686169 -9.554522 0 0 15.1743 0 0 0.054448 0 16323.1 0 0.353341 1.362986 -195.465 0 1740 4 92 "1237652947993362582" "737627752731011072" 10.98187 -1.316405 -12.35833 2.016756
"110" 1 10.606409 -9.619134 0 0 17.5037 0 0 0.056461 0 16926.501 0 0.353612 1.364033 407.937 0 1740 4 92 "1237652947993362637" "737617582248454144" 9.945695 -1.501372 -11.5315 1.747095
"111" 1 10.439389 -9.675854 0 0 16.9612 0 0 0.056912 0 17061.926 0 0.360387 1.390166 543.362 0 1740 4 91 "1237652947993297009" "738698127065769984" 9.902231 -0.007088996 -9.967878 1.232603
"112" 1 10.246205 -8.999499 0 0 16.8476 0 0 0.056544 0 16951.558 0 0.360868 1.392022 432.993 0 1729 6 150 "1237652901826265191" "737611260056594432" 10.26216 -1.427061 -11.76398 2.003411
"113" 1 10.744646 -9.486286 0 0 17.4756 0 0 0.059891 0 17954.888 0 0.361025 1.392627 1436.324 0 1666 5 262 "1237652630713794768" "737626653219383296" 10.05544 -0.8903923 -11.00558 1.967859
"114" 1 10.772 -9.425802 0 0 16.044 0 0 0.054365 0 16298.259 0 0.362344 1.397715 -220.305 0 1666 5 263 "1237652630713860199" "738708572426233856" 10.56961 -1.670492 -12.3172 1.913398
"115" 1 10.625405 -9.008739 0 0 17.2992 0 0 0.058034 0 17398.203 0 0.36684 1.415056 879.639 0 1729 6 153 "1237652901826461749" "738680260001818624" 10.01536 -1.288354 -11.35049 1.728388
"116" 1 10.576921 -9.653383 0 0 17.7142 0 0 0.051447 0 15423.432 0 0.370473 1.429073 -1095.133 0 1740 4 92 "1237652947993362625" "737617857126361088" 9.183997 -0.1087378 -9.348867 1.072752
